2025-07-10 01:58:17 | INFO | app.core.middleware:dispatch:11 - 开始请求: GET http://127.0.0.1:8000/docs
2025-07-10 01:58:17 | INFO | app.core.middleware:dispatch:19 - 完成请求: GET http://127.0.0.1:8000/docs - 状态码: 200 - 耗时: 0.0057秒
2025-07-10 01:58:17 | INFO | app.core.middleware:dispatch:11 - 开始请求: GET http://127.0.0.1:8000/openapi.json
2025-07-10 01:58:17 | INFO | app.core.middleware:dispatch:19 - 完成请求: GET http://127.0.0.1:8000/openapi.json - 状态码: 200 - 耗时: 0.1024秒
2025-07-10 01:58:25 | INFO | app.core.middleware:dispatch:11 - 开始请求: POST http://127.0.0.1:8000/api/v1/login/access-token
2025-07-10 01:58:25 | INFO | app.core.middleware:dispatch:19 - 完成请求: POST http://127.0.0.1:8000/api/v1/login/access-token - 状态码: 401 - 耗时: 0.4227秒
2025-07-10 01:58:49 | INFO | app.core.middleware:dispatch:11 - 开始请求: POST http://127.0.0.1:8000/api/v1/login/access-token
2025-07-10 01:58:49 | INFO | app.core.middleware:dispatch:19 - 完成请求: POST http://127.0.0.1:8000/api/v1/login/access-token - 状态码: 401 - 耗时: 0.3332秒
2025-07-10 02:01:26 | INFO | app.core.middleware:dispatch:11 - 开始请求: GET http://127.0.0.1:8000/docs
2025-07-10 02:01:26 | INFO | app.core.middleware:dispatch:19 - 完成请求: GET http://127.0.0.1:8000/docs - 状态码: 200 - 耗时: 0.0169秒
2025-07-10 02:01:27 | INFO | app.core.middleware:dispatch:11 - 开始请求: GET http://127.0.0.1:8000/openapi.json
2025-07-10 02:01:27 | INFO | app.core.middleware:dispatch:19 - 完成请求: GET http://127.0.0.1:8000/openapi.json - 状态码: 200 - 耗时: 0.0745秒
2025-07-10 02:01:36 | INFO | app.core.middleware:dispatch:11 - 开始请求: POST http://127.0.0.1:8000/api/v1/login/access-token
2025-07-10 02:01:37 | INFO | app.core.middleware:dispatch:19 - 完成请求: POST http://127.0.0.1:8000/api/v1/login/access-token - 状态码: 200 - 耗时: 0.4223秒
